,id,comment_text,target
0,5413656,???...You trying to hard...#MAGA,0.0
1,267023,"I am not speaking for myself. I pay for my own internet. I am speaking for others that I have witnessed use the public library internet and for a few who got screwed in a job, lost their medical benefits, etc. was a temporary life saver in many scenarios. Even our own bush newspaper journalist uses the public library here  to write articles to inform the Aleutian Chain and state wide (ADN) due to the fact that he makes so little money from his profession.",0.1666666666666666
2,5092377,"bank of hawaii, first hawaiian bank, most landowners in hawaii, most other large corporations, trusts, llc's, and institutional investors dont live, work or invest in the future of hawaii.  since most profits are sent out of state, maybe it's time we pass a special tax law on profits derived from doing business here that are not re-invested here. hawaii seems to be a good place to make money but a bad place to invest for the long term, and a terrible place to invest in the good people that are here, but can't actually afford live here.",0.0
3,723958,"""Trump on Friday night vowed to seek approval from Congress to spend $1-trillion in new spending to rebuild America’s crumbling network of roads, bridges, airports and other infrastructure as a way to create jobs and make some needed repairs.

“We are going to fix our country. It’s time. We have no choice. It’s time,” Trump said in Orlando, Florida.""

Unemployed West Virginia and Pennsylvania Coal Miners weren't too happy with the news that they're going to be asked to leave Appalachia and relocate across 'Merica to work above ground for the foreseeable future!",0.0
4,5571767,"Right...so if the headlines instead read ""Clinton met with Russian officials for incriminating information on Trump"" you wouldn't think that was news either?",0.0
5,5018637,"Yep, the arrogant Rhinestone Cowboy got too big for his britches.  The political and financial damaged he and his ""shack-up GF"" did to Oregon will be the gift that unfortunately keeps giving for a while.",0.8
6,5564291,"I see I'm going to have to walk you through this slowly.

Chances are you will not pay your dentist with something tangible, be it sardines or cash. The same is true of the majority of transactions. Instead, you will ELECTRONICALLY transfer the funds. Nothing tangible changes hands. The transactions are conducted with no exchange of anything physical or visible.

I'm not making a value statement about bitcoin or Ethereum or any of the other crypto-currencies. I'm simply saying that the concept is valid, with some clear advantages over the way currency is manufactured now.",0.0
7,756934,"I know the left is against the tool that is effective in catch criminals but PROFILING works. Look at the murder stats and who is involved. Lets use science and be smart instead of politically correct when catching criminals. Lets just say for example that most murders in Anchorage were committed by non Whites with an age between 18-30 and are males with low or no income. The liberal way, so as not to offend anyone, would be to focus the search on 65 year old White rich females.",0.2
8,6269539,"Do you every wash anything? Do you have landscaping? Do you dig? Do you drive a car or heat a home? Where synthetic clothing? Eat food that is trucked or refrigerated? Use pharmaceuticals or medical devices? Use a computer or cell phone?  

If so, your consuming moly and the production of moly creates a regulated externality.

Zero externalization doesn't exist.",0.0
9,6302531,">> ... reason and compassion ..

Do you ever take a break ...",0.0
